Id_cliente;Genero;Adulto_mayor;Tiene_pareja;Dependientes;Permanencia;ServicioTelefonico;LineasMultiples;ServicioInternet;SeguridadLinea;CopiaSeguridad;ProteccionDispositivo;SoporteTecnico;StreamingTV;StreamingPelicula;Contrato;FacturacionSpapel;MetodoPago;CargosMensuales;CargosTotales;Abandono
1258-YMZNM;Femenina;1;No;No;27;Si;Si;Fibra optica;Si;Si;Si;No;Si;Si;Un año;Si;Transferencia bancaria (automática);1105;28576;No
0048-LUMLS;Masculino;0;Si;Si;37;Si;No;Fibra optica;No;No;No;No;Si;Si;Un año;No;Tarjeta de crédito (automática);912;324755;No
7549-MYGPK;Femenina;0;Si;Si;63;Si;Si;Fibra optica;Si;Si;Si;No;Si;No;Mes a mes;Si;Cheque electronico;10055;621535;Si
5898-IGSLP;Masculino;0;Si;Si;31;Si;Si;Fibra optica;Si;No;Si;Si;No;No;Mes a mes;No;Cheque electronico;893;2823;No
3804-RVTGV;Masculino;0;Si;Si;50;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);10385;50179;Si
6259-WJQLC;Masculino;1;No;No;32;Si;Si;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);811;261925;No
9227-LUNBG;Femenina;0;No;No;1;No;No hay servicio telefónico;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;246;246;Si
7997-EASSD;Femenina;0;Si;No;63;Si;Si;Fibra optica;No;No;No;Si;No;No;Un año;Si;Tarjeta de crédito (automática);812;49651;No
0730-KOAVE;Masculino;0;No;No;30;Si;Si;Fibra optica;Si;Si;No;No;No;Si;Mes a mes;Si;Tarjeta de crédito (automática);943;26797;No
8975-SKGRX;Masculino;0;Si;No;71;Si;Si;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);1161;831055;No
0678-RLHVP;Femenina;0;No;No;53;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Dos años;No;Cheque electronico;10555;568225;No
4315-MURBD;Femenina;0;No;No;12;Si;No;Fibra optica;Si;No;No;Si;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);989;112095;Si
2267-FPIMA;Masculino;0;Si;No;50;Si;Si;Fibra optica;Si;Si;No;No;No;Si;Mes a mes;Si;Tarjeta de crédito (automática);944;49149;No
1051-GEJLJ;Femenina;0;No;No;2;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;195;2755;No
9734-YWGEX;Femenina;0;No;No;9;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;No;Tarjeta de crédito (automática);983;9235;Si
2719-BDAQO;Masculino;0;No;No;17;Si;No;Fibra optica;Si;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;9385;162565;Si
5285-MVEHD;Femenina;0;Si;No;56;Si;No;Fibra optica;Si;Si;Si;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);1056;606865;No
0379-DJQHR;Masculino;0;Si;Si;67;Si;No;DSL;Si;Si;Si;No;Si;Si;Dos años;No;Tarjeta de crédito (automática);8135;53986;No
0781-LKXBR;Masculino;1;No;No;9;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;1005;9186;Si
5543-QDCRY;Masculino;0;No;No;4;Si;No;DSL;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;564;23485;No
0297-RBCSG;Masculino;0;No;No;19;Si;No;DSL;No;Si;No;Si;No;Si;Un año;Si;Transferencia bancaria (automática);6535;123185;No
4694-PHWFW;Femenina;0;No;Si;8;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;1995;1709;No
0835-JKADZ;Femenina;0;No;No;71;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Dos años;Si;Cheque electronico;11125;798415;No
1907-UBQFC;Masculino;1;No;No;10;Si;No;Fibra optica;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;7285;68865;Si
7508-SMHXL;Femenina;1;No;No;15;Si;Si;Fibra optica;No;Si;No;No;Si;No;Mes a mes;No;Tarjeta de crédito (automática);89;12883;No
3865-YIOTT;Masculino;0;Si;Si;72;Si;Si;Fibra optica;Si;No;Si;No;Si;Si;Un año;Si;Transferencia bancaria (automática);1061;78485;No
5993-BQHEA;Masculino;0;No;No;12;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Tarjeta de crédito (automática);2005;267;No
6024-RUGGH;Masculino;0;Si;Si;72;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Transferencia bancaria (automática);252;17989;No
6513-EECDB;Masculino;1;Si;No;1;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;7355;7355;Si
3956-CJUST;Femenina;1;No;No;23;Si;No;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);754;164355;No
4079-WWQQQ;Masculino;0;No;No;72;No;No hay servicio telefónico;DSL;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);6555;480745;No
6103-BOCOU;Femenina;0;No;No;26;Si;Si;Fibra optica;No;No;Si;No;No;No;Mes a mes;Si;Cheque electronico;807;2193;No
5149-TGWDZ;Femenina;0;No;No;21;Si;No;Fibra optica;No;Si;Si;Si;Si;Si;Un año;Si;Cheque enviado por correo;10455;22394;No
7471-WNSUF;Masculino;0;Si;No;60;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);2415;15059;No
8942-DBMHZ;Masculino;0;No;No;12;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;2045;25535;No
4301-VVZKA;Masculino;0;Si;No;16;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;754;11894;No
9199-PWQVC;Femenina;0;Si;No;63;Si;Si;DSL;Si;Si;No;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);797;478615;No
4824-GUCBY;Femenina;1;No;No;22;Si;No;Fibra optica;Si;Si;No;No;No;No;Mes a mes;No;Cheque electronico;817;18209;No
5393-HJZSM;Femenina;0;Si;Si;32;Si;No;DSL;Si;Si;Si;Si;No;Si;Mes a mes;No;Transferencia bancaria (automática);763;240415;No
7074-IEVOJ;Femenina;1;No;No;3;Si;Si;Fibra optica;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;794;20505;Si
9625-QSTYE;Femenina;0;No;No;13;Si;No;Fibra optica;No;Si;Si;No;No;No;Mes a mes;Si;Cheque electronico;8115;9523;Si
0862-PRCBS;Femenina;0;Si;Si;68;Si;Si;Fibra optica;No;Si;No;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);10375;703945;No
8812-ZRHFP;Femenina;0;Si;Si;30;Si;No;Fibra optica;No;No;Si;No;No;Si;Un año;No;Cheque electronico;8645;253805;No
5146-CBVOE;Femenina;0;No;No;16;Si;No;Fibra optica;No;Si;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);751;121285;No
0454-OKRCT;Masculino;0;No;No;33;Si;No;Fibra optica;No;Si;No;Si;No;No;Dos años;No;Transferencia bancaria (automática);806;26511;No
5787-KXGIY;Masculino;0;Si;No;72;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);193;13048;No
4750-ZRXIU;Femenina;1;No;No;4;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;846;3601;Si
4198-VFOEA;Femenina;0;No;No;12;No;No hay servicio telefónico;DSL;Si;No;No;Si;No;No;Un año;Si;Cheque enviado por correo;336;43545;No
6630-UJZMY;Femenina;1;Si;No;4;Si;Si;Fibra optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;8325;30805;No
5709-LVOEQ;Femenina;0;Si;Si;0;Si;No;DSL;Si;Si;Si;No;Si;Si;Dos años;No;Cheque enviado por correo;8085;;No
6400-BWQKW;Femenina;0;No;No;6;Si;Si;Fibra optica;Si;No;No;No;No;No;Mes a mes;Si;Cheque electronico;7905;4345;Si
2692-AQCPF;Femenina;0;Si;No;65;Si;Si;Fibra optica;No;Si;Si;Si;Si;Si;Un año;Si;Tarjeta de crédito (automática);10805;71189;No
0347-UBKUZ;Femenina;0;No;No;15;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;199;32045;No
0835-DUUIQ;Femenina;0;No;Si;24;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);2105;53155;No
0811-GSDTP;Femenina;0;No;Si;13;No;No hay servicio telefónico;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;3015;3822;No
7567-ECMCM;Masculino;0;No;No;24;Si;No;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Tarjeta de crédito (automática);7985;2001;No
6115-ZTBFQ;Femenina;0;Si;No;72;No;No hay servicio telefónico;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;Transferencia bancaria (automática);655;49197;No
6353-BRMMA;Femenina;0;Si;Si;54;Si;Si;Fibra optica;Si;Si;No;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);1041;56458;No
6680-WKXRZ;Femenina;0;No;No;3;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);744;2158;Si
6231-WFGFH;Masculino;0;Si;Si;4;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;205;776;No
9904-EHEVJ;Femenina;1;Si;Si;32;Si;Si;Fibra optica;No;No;Si;No;Si;No;Mes a mes;Si;Cheque enviado por correo;9135;289655;No
7028-DVOIQ;Masculino;1;No;No;35;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;9905;33958;Si
6169-PPETC;Masculino;0;Si;Si;35;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);205;75935;No
4208-UFFGW;Masculino;1;No;No;2;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque enviado por correo;4495;8515;Si
8584-KMVXD;Femenina;0;No;No;8;Si;No;Fibra optica;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;756;53555;No
8467-WYNSR;Masculino;0;No;No;22;Si;No;DSL;Si;No;No;Si;No;No;Mes a mes;No;Cheque enviado por correo;551;125315;No
0851-DFJKB;Femenina;0;No;No;15;Si;No;DSL;Si;No;Si;Si;No;No;Mes a mes;No;Cheque electronico;5895;95515;No
5382-SOYZL;Masculino;0;No;No;22;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;951;21626;No
9448-REEVD;Masculino;0;Si;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Tarjeta de crédito (automática);447;447;Si
3261-CQXOL;Femenina;0;Si;Si;71;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2545;181335;No
8388-FYNPZ;Masculino;0;No;No;4;Si;No;DSL;Si;No;Si;No;No;No;Mes a mes;No;Cheque electronico;5675;24515;No
4002-BQWPQ;Masculino;0;No;No;25;Si;Si;DSL;Si;Si;Si;Si;No;Si;Mes a mes;No;Transferencia bancaria (automática);8175;20288;No
5651-YLPRD;Femenina;0;Si;Si;32;Si;No;Fibra optica;No;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;861;272375;No
2826-DXLQO;Masculino;1;Si;No;7;No;No hay servicio telefónico;DSL;Si;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);298;22045;No
4378-BZYFP;Masculino;0;No;No;17;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Cheque enviado por correo;205;3658;No
9489-UTFKA;Masculino;1;Si;No;8;Si;No;DSL;Si;No;No;No;Si;No;Mes a mes;No;Transferencia bancaria (automática);609;55195;No
4849-PYRLQ;Femenina;1;No;No;56;Si;Si;DSL;Si;No;Si;Si;No;Si;Dos años;No;Transferencia bancaria (automática);7325;40542;No
9117-SHLZX;Masculino;0;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;457;457;Si
9889-TMAHG;Masculino;1;No;No;8;Si;No;Fibra optica;Si;No;No;Si;Si;Si;Mes a mes;No;Tarjeta de crédito (automática);1003;83235;Si
4541-RMRLG;Masculino;0;No;No;7;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque electronico;1925;1123;Si
7764-BDPEE;Masculino;0;No;Si;3;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;2085;6065;No
3429-IFLEM;Femenina;0;No;No;71;Si;No;DSL;Si;Si;Si;Si;Si;No;Dos años;No;Tarjeta de crédito (automática);7735;55501;No
3158-MOERK;Femenina;0;No;No;2;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;96;1748;Si
7294-TMAOP;Femenina;0;No;No;1;Si;No;Fibra optica;No;No;No;No;Si;Si;Mes a mes;No;Cheque electronico;9055;9055;Si
5002-GCQFH;Masculino;0;Si;No;49;Si;Si;Fibra optica;Si;Si;No;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);9385;47331;No
0556-FJEGU;Masculino;0;No;No;58;Si;No;DSL;No;Si;Si;Si;Si;No;Dos años;No;Transferencia bancaria (automática);701;404895;No
8919-FYFQZ;Masculino;1;Si;No;44;No;No hay servicio telefónico;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;3035;13597;Si
0604-THJFP;Femenina;0;Si;Si;59;Si;No;DSL;No;Si;No;Si;Si;Si;Dos años;Si;Tarjeta de crédito (automática);7595;454235;No
2834-JRTUA;Masculino;0;No;No;71;Si;Si;Fibra optica;Si;No;Si;Si;Si;Si;Dos años;Si;Cheque electronico;10805;753215;Si
5875-YPQFJ;Masculino;0;No;No;1;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;699;699;Si
5879-SESNB;Femenina;0;No;No;11;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;7525;88865;No
6646-QVXLR;Masculino;1;Si;No;62;Si;Si;Fibra optica;No;Si;Si;No;Si;Si;Un año;Si;Cheque electronico;10375;638335;Si
6461-PPAXN;Femenina;0;Si;Si;35;Si;No;DSL;Si;No;No;Si;No;No;Un año;Si;Transferencia bancaria (automática);5495;1916;No
3318-ISQFQ;Femenina;0;No;No;20;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Transferencia bancaria (automática);195;413;No
1106-HRLKZ;Masculino;0;Si;Si;40;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;196;80895;No
2483-XSSMZ;Femenina;0;No;No;39;Si;No;DSL;Si;No;No;No;No;No;Un año;Si;Cheque electronico;4785;18864;No
8603-IJWDN;Masculino;0;No;No;1;Si;Si;Fibra optica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electronico;866;866;Si
8165-ZJRNM;Femenina;0;Si;Si;72;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2375;167925;No
9369-XFEHK;Femenina;1;Si;No;33;Si;Si;Fibra optica;No;Si;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);806;26565;Si
2604-XVDAM;Femenina;0;No;No;12;Si;No;DSL;No;No;No;No;No;No;Mes a mes;No;Transferencia bancaria (automática);438;54095;No
3717-OFRTN;Masculino;0;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Transferencia bancaria (automática);1975;1975;No
9046-JBFWA;Masculino;0;No;Si;27;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;1915;53735;No
3280-NMUVX;Masculino;0;Si;Si;34;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Tarjeta de crédito (automática);196;6788;No
1206-EHBDD;Femenina;0;Si;No;56;Si;No;Fibra optica;Si;No;Si;No;No;No;Dos años;No;Transferencia bancaria (automática);803;451365;No
8361-LBRDI;Femenina;0;No;No;58;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);2435;142385;No
4883-KCPZJ;Femenina;0;Si;Si;22;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);2525;5554;No
9108-EQPNQ;Femenina;0;Si;Si;10;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);261;22555;No
7277-KAMWT;Masculino;0;No;No;13;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);20;26845;No
3842-IYKUE;Femenina;0;No;No;35;Si;Si;Fibra optica;No;Si;No;Si;No;No;Mes a mes;No;Tarjeta de crédito (automática);853;29175;Si
6641-XRPSU;Femenina;0;No;No;34;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);70;24161;Si
1374-DMZUI;Femenina;1;No;No;4;Si;Si;Fibra optica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electronico;943;42445;Si
2545-LXYVJ;Masculino;0;Si;No;72;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);207;14921;No
3234-VKACU;Masculino;0;No;No;2;Si;No;DSL;No;No;No;Si;Si;Si;Mes a mes;No;Cheque electronico;703;1324;No
8357-EQXFO;Femenina;0;No;No;7;Si;No;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;9535;6609;Si
1989-PRJHP;Masculino;1;Si;No;27;Si;Si;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;755;189395;Si
8120-JDCAM;Masculino;0;Si;Si;4;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;6955;2849;No
8917-FAEMR;Femenina;0;No;No;37;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;1985;78425;No
7047-YXDMZ;Masculino;0;No;No;21;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque enviado por correo;20;4177;No
2858-EIMXH;Femenina;1;Si;No;53;Si;Si;Fibra optica;No;No;No;No;Si;Si;Un año;Si;Tarjeta de crédito (automática);9585;501625;No
9524-EGPJC;Femenina;0;No;No;18;Si;Si;Fibra optica;No;No;No;Si;No;Si;Mes a mes;Si;Cheque electronico;901;161275;Si
6993-OHLXR;Femenina;0;No;No;2;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;6895;11975;Si
8818-XYFCQ;Masculino;0;Si;Si;32;Si;Si;Fibra optica;Si;No;No;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);9955;320465;Si
6419-ZTTLE;Masculino;1;Si;No;23;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Cheque electronico;2075;4852;No
0929-HYQEW;Masculino;0;No;No;3;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;5015;16085;No
6614-YOLAC;Femenina;0;Si;Si;71;No;No hay servicio telefónico;DSL;Si;Si;No;Si;Si;Si;Dos años;No;Cheque enviado por correo;5865;414525;No
7426-RHZGU;Masculino;0;No;No;9;Si;No;Fibra optica;No;No;No;Si;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);959;82745;No
4065-JJAVA;Femenina;0;No;No;1;Si;No;DSL;No;Si;No;No;No;No;Mes a mes;No;Cheque electronico;495;495;No
4695-VADHF;Masculino;0;Si;Si;18;Si;No;DSL;No;No;Si;No;No;Si;Mes a mes;No;Cheque electronico;5745;99085;Si
3863-IUBJR;Masculino;0;Si;Si;12;Si;No;DSL;No;No;No;No;No;Si;Un año;No;Tarjeta de crédito (automática);5365;69635;Si
7649-SIJJF;Masculino;0;Si;No;71;Si;Si;DSL;Si;Si;Si;Si;No;Si;Dos años;Si;Cheque enviado por correo;801;55854;No
9361-YNQWJ;Femenina;0;No;No;64;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);244;16012;No
3748-FVMZZ;Masculino;0;No;No;4;No;No hay servicio telefónico;DSL;No;No;No;Si;No;Si;Mes a mes;Si;Cheque electronico;4005;16245;No
9391-TTOYH;Femenina;0;No;No;23;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque enviado por correo;195;4702;No
1452-XRSJV;Femenina;0;Si;Si;39;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;No;Tarjeta de crédito (automática);5105;2066;No
3422-WJOYD;Masculino;0;Si;No;28;Si;No;DSL;Si;No;No;Si;No;No;Un año;No;Cheque enviado por correo;5435;142645;No
8242-SOQUO;Femenina;1;No;No;5;Si;No;Fibra optica;No;Si;No;No;Si;No;Mes a mes;Si;Cheque electronico;847;3925;No
7460-ITWWP;Femenina;1;Si;No;45;Si;No;Fibra optica;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electronico;861;386145;No
7147-AYBAA;Masculino;0;No;No;37;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Cheque enviado por correo;7035;25529;No
7868-TMWMZ;Femenina;1;Si;No;60;Si;No;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);110;666835;No
4822-RVYBB;Masculino;1;No;No;8;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;1006;8194;Si
6732-FZUGP;Femenina;0;No;No;47;Si;Si;Fibra optica;Si;No;Si;No;Si;No;Un año;No;Tarjeta de crédito (automática);949;461525;No
8436-BJUMM;Masculino;0;Si;Si;26;Si;Si;Fibra optica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electronico;8375;20706;Si
4184-TJFAN;Femenina;1;Si;Si;3;Si;No;Fibra optica;Si;No;No;Si;Si;No;Mes a mes;Si;Cheque enviado por correo;883;27375;Si
8329-GWVPJ;Femenina;0;Si;Si;50;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);6975;35577;No
1352-VHKAJ;Masculino;0;Si;Si;27;Si;Si;DSL;No;No;No;Si;Si;Si;Mes a mes;No;Transferencia bancaria (automática);716;19571;No
4145-UQXUQ;Femenina;1;No;No;8;Si;No;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;921;72995;Si
2632-TACXW;Femenina;0;Si;No;62;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);2365;141675;No
8146-QQKZH;Femenina;0;Si;No;71;Si;No;DSL;Si;No;Si;Si;Si;Si;Dos años;No;Transferencia bancaria (automática);8185;59244;No
1767-CJKBA;Masculino;0;No;No;66;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque enviado por correo;251;16977;No
6445-TNRXS;Masculino;0;Si;Si;68;Si;Si;Fibra optica;Si;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);1147;784985;No
4581-LNWUM;Femenina;0;No;No;13;No;No hay servicio telefónico;DSL;No;No;Si;No;Si;Si;Mes a mes;No;Cheque electronico;4915;6494;No
4869-EPIUS;Masculino;0;Si;No;56;Si;No;Fibra optica;No;No;No;No;No;Si;Un año;Si;Cheque electronico;809;45575;No
9948-YPTDG;Masculino;0;Si;No;38;Si;No;Fibra optica;Si;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;7945;301305;Si
1236-WFCDV;Masculino;1;No;No;14;Si;No;Fibra optica;No;No;No;No;Si;Si;Mes a mes;No;Tarjeta de crédito (automática);9045;12661;Si
1915-OAKWD;Femenina;0;No;Si;16;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);193;36035;No
7296-PIXQY;Femenina;0;Si;Si;14;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;No;Cheque electronico;702;10465;No
4883-QICIH;Masculino;0;Si;Si;32;Si;No;Fibra optica;No;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);6975;23479;Si
3354-OADJP;Femenina;0;No;No;8;Si;No;DSL;Si;No;No;Si;No;No;Un año;No;Transferencia bancaria (automática);5425;44775;No
3524-WQDSG;Femenina;0;Si;Si;43;Si;Si;Fibra optica;No;No;Si;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);993;420995;No
0810-DHDBD;Femenina;0;No;No;52;Si;Si;DSL;Si;No;Si;Si;Si;No;Un año;No;Tarjeta de crédito (automática);74;387765;No
4026-SKKHW;Masculino;0;No;No;3;Si;No;DSL;No;No;No;Si;No;No;Mes a mes;Si;Cheque enviado por correo;5025;1523;No
